country,year,population_million,gdp_trillion_usd
US,2014,318.6,17.6
US,2015,320.7,18.3
US,2016,322.9,18.7
US,2017,325.1,19.6
US,2018,327.2,20.7
US,2019,329.5,21.5
US,2020,331.5,21.4
US,2021,332.0,23.7
US,2022,333.3,26.0
US,2023,334.9,27.7
Japan,2014,127.3,4.85
Japan,2015,127.0,4.45
Japan,2016,126.9,5.00
Japan,2017,126.7,4.93
Japan,2018,126.5,5.04
Japan,2019,126.3,5.12
Japan,2020,125.8,5.05
Japan,2021,125.5,5.00
Japan,2022,124.9,4.27
Japan,2023,124.4,4.21
China,2014,1371.9,10.48
China,2015,1379.9,11.06
China,2016,1387.8,11.23
China,2017,1396.2,12.31
China,2018,1402.8,13.89
China,2019,1407.7,14.28
China,2020,1411.1,14.69
China,2021,1412.3,17.82
China,2022,1412.4,17.88
China,2023,1410.7,17.79
