year,total_pop,pop65,pop65_male,pop65_female
1920,55963053,2941356,,
1925,59736822,3021063,,
1930,64450005,3063875,,
1935,69254148,3224959,,
1940,73075071,3453702,,
1945,71998104,3700115,,
1950,84114574,4155180,,
1955,90076594,4786199,,
1960,94301623,5397980,2284830.0,3068233.0
1965,99209137,6235614,2687077.0,3513145.0
1970,104665171,7393292,3169005.0,4133921.0
1975,111939643,8865429,3777758.0,5060408.0
1980,117060396,10647356,4427861.0,6165056.0
1985,121048923,12468343,5083682.0,7424087.0
1990,123611167,14894595,6043438.0,8970545.0
1995,125570246,18260822,7549400.0,10844910.0
2000,126925843,22005152,9277788.0,12845954.0
2005,127767994,25672005,11030576.0,14884215.0
2010,128057352,29245685,12726650.0,16854992.0
2015,127094745,33790006,14947590.0,19282585.0
2020,126146099,36026632,16050394.0,20461982.0
