時点,ごみ総排出量,ごみ処理量,ごみのリサイクル率
2000年度,806774,780151,14.8
2001年度,824251,807932,14.9
2002年度,829220,809355,15
2003年度,840775,829511,14.8
2004年度,810270,801380,14
2005年度,853228,802604,15
2006年度,867740,815412,15.1
2007年度,851070,797154,16.1
2008年度,829085,778953,15.7
2009年度,803030,755589,15.1
2010年度,789979,744055,14.8
2011年度,788068,743865,14.9
2012年度,785528,740580,15.3
2013年度,775107,731877,15.6
2014年度,772692,730610,15.6
2015年度,756990,717291,15.4
2016年度,733797,695658,15.7
2017年度,717256,682438,15.1
2018年度,713919,680486,15.2
2019年度,713518,683256,14.7
