時点,総人口,日本人人口
1975年,1756480,1753436
1976年,1778000,1775000
1977年,1799000,1796000
1978年,1817000,1814000
1979年,1833000,1829000
1980年,1848562,1845138
1981年,1864000,1861000
1982年,1879000,1876000
1983年,1893000,1890000
1984年,1908000,1904000
1985年,1921259,1917320
1986年,1931000,1926000
1987年,1941000,1934000
1988年,1949000,1941000
1989年,1959000,1950000
1990年,1966265,1954565
1991年,1974000,1962000
1992年,1984000,1969000
1993年,1990000,1973000
1994年,1996000,1977000
1995年,2003540,1981799
1996年,2009000,1985000
1997年,2013000,1987000
1998年,2017000,1991000
1999年,2020000,1993000
2000年,2024852,1991914
2001年,2029000,1998000
2002年,2030000,1997000
2003年,2030000,1997000
2004年,2027000,1994000
2005年,2024135,1988229
2006年,2022000,1987000
2007年,2020000,1983000
2008年,2017000,1979000
2009年,2014000,1976000
2010年,2008068,1964136
2011年,2001000,1967000
2012年,1994000,1961000
2013年,1986000,1953000
2014年,1979000,1945000
2015年,1973115,1930380
2016年,1969000,1928000
2017年,1963000,1917000
2018年,1957000,1906000
2019年,1949000,1892000
2020年,1939110,1860213
2021年,1927000,1866000
