時点,小学生,中学生,高校生,大学生
2002年,120350,63826,62680,21337
2003年,120653,61810,60715,21993
2004年,120166,60098,59557,23074
2005年,119933,59488,57752,23827
2006年,119741,59191,55879,24876
2007年,118766,59603,54271,25497
2008年,118590,59269,53817,26474
2009年,117138,59734,53567,25827
2010年,115864,58748,53939,27823
2011年,114134,58737,53743,28624
2012年,111769,58045,54133,29247
2013年,109718,57732,53331,29232
2014年,107500,57463,53421,29431
2015年,105827,56744,53016,30182
2016年,103990,55957,52890,31424
2017年,102310,54421,52867,32097
2018年,100922,52809,52160,33726
2019年,98773,51794,51371,33121
2020年,96764,51167,49994,30791
2021年,94185,50841,48521,30753
