”NŒŽ,“Œ‹ž‚ÌŒŽ•½‹Ï‹C‰·
1-Jan,7
1-Feb,6.5
1-Mar,9.1
1-Apr,12.4
1-May,19
1-Jun,23.6
1-Jul,28
1-Aug,29.6
1-Sep,25.1
1-Oct,18.9
1-Nov,13.5
1-Dec,9.9
1-Jan,5.1
1-Feb,7
1-Mar,8.1
1-Apr,14.5
1-May,18.5
1-Jun,22.8
1-Jul,27.3
1-Aug,27.5
1-Sep,25.1
1-Oct,19.5
1-Nov,14.9
1-Dec,7.5
1-Jan,4.8
1-Feb,5.4
1-Mar,8.8
1-Apr,14.5
1-May,19.6
1-Jun,21.4
1-Jul,26.4
1-Aug,29.1
1-Sep,26.2
1-Oct,19.4
1-Nov,12.7
1-Dec,7.3
1-Jan,5.5
1-Feb,6.2
1-Mar,12.1
1-Apr,15.2
1-May,19.8
1-Jun,22.9
1-Jul,27.3
1-Aug,29.2
1-Sep,25.2
1-Oct,19.8
1-Nov,13.5
1-Dec,8.3
1-Jan,6.3
1-Feb,5.9
1-Mar,10.4
1-Apr,15
1-May,20.3
1-Jun,23.4
1-Jul,26.8
1-Aug,27.7
1-Sep,23.2
1-Oct,19.1
1-Nov,14.2
1-Dec,6.7
1-Jan,5.8
1-Feb,5.7
1-Mar,10.3
1-Apr,14.5
1-May,21.1
1-Jun,22.1
1-Jul,26.2
1-Aug,26.7
1-Sep,22.6
1-Oct,18.4
1-Nov,13.9
1-Dec,9.3
1-Jan,6.1
1-Feb,7.2
1-Mar,10.1
1-Apr,15.4
1-May,20.2
1-Jun,22.4
1-Jul,25.4
1-Aug,27.1
1-Sep,24.4
1-Oct,18.7
1-Nov,11.4
1-Dec,8.9
1-Jan,5.8
1-Feb,6.9
1-Mar,8.5
1-Apr,14.7
1-May,20
1-Jun,22
1-Jul,27.3
1-Aug,26.4
1-Sep,22.8
1-Oct,16.8
1-Nov,11.9
1-Dec,6.6
1-Jan,4.7
1-Feb,5.4
1-Mar,11.5
1-Apr,17
1-May,19.8
1-Jun,22.4
1-Jul,28.3
1-Aug,28.1
1-Sep,22.9
1-Oct,19.1
1-Nov,14
1-Dec,8.3
1-Jan,5.6
1-Feb,7.2
1-Mar,10.6
1-Apr,13.6
1-May,20
1-Jun,21.8
1-Jul,24.1
1-Aug,28.4
1-Sep,25.1
1-Oct,19.4
1-Nov,13.1
1-Dec,8.5
1-Jan,7.1
1-Feb,8.3
1-Mar,10.7
1-Apr,12.8
1-May,19.5
1-Jun,23.2
1-Jul,24.3
1-Aug,29.1
1-Sep,24.2
1-Oct,17.5
1-Nov,14
1-Dec,7.7
1-Jan,5.4
